,roles
206,Criminal Investigators and Special Agents
207,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
208,Critical Care Nurses
209,Crossing Guards
210,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
211,Curators
212,Customer Service Representatives
213,Customs Brokers
214,"Cutters and Trimmers, Hand"
215,"Cutting and Slicing Machine Setters, Operators, and Tenders"
216,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
217,Cytogenetic Technologists
218,Cytotechnologists
219,Dancers
220,Data Entry Keyers
221,Data Warehousing Specialists
222,Database Administrators
223,Database Architects
224,Demonstrators and Product Promoters
225,Dental Assistants
226,Dental Hygienists
227,Dental Laboratory Technicians
228,"Dentists, General"
229,Dermatologists
230,"Derrick Operators, Oil and Gas"
231,Desktop Publishers
232,Diagnostic Medical Sonographers
233,Dietetic Technicians
234,Dietitians and Nutritionists
235,Dining Room and Cafeteria Attendants and Bartender Helpers
236,"Directors, Religious Activities and Education"
237,"Directors- Stage, Motion Pictures, Television, and Radio"
238,Dishwashers
239,"Dispatchers, Except Police, Fire, and Ambulance"
240,Distance Learning Coordinators
241,Document Management Specialists
242,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
243,Dredge Operators
244,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
245,Driver/Sales Workers
246,Drywall and Ceiling Tile Installers
247,"Earth Drillers, Except Oil and Gas"
248,"Economics Teachers, Postsecondary"
249,Economists
250,Editors
251,"Education Administrators, Elementary and Secondary School"
252,"Education Administrators, Postsecondary"
253,"Education Administrators, Preschool and Childcare Center/Program"
254,"Education Teachers, Postsecondary"
255,"Educational, Guidance, School, and Vocational Counselors"
256,"Electric Motor, Power Tool, and Related Repairers"
257,Electrical Drafters
258,Electrical Engineering Technicians
259,Electrical Engineering Technologists
260,Electrical Engineers
261,Electrical Power-Line Installers and Repairers
262,Electrical and Electronic Equipment Assemblers
263,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
264,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
265,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
266,Electricians
267,Electro-Mechanical Technicians
268,Electromechanical Engineering Technologists
269,Electromechanical Equipment Assemblers
270,Electronic Drafters
271,"Electronic Equipment Installers and Repairers, Motor Vehicles"
272,Electronic Home Entertainment Equipment Installers and Repairers
273,Electronics Engineering Technicians
274,Electronics Engineering Technologists
275,"Electronics Engineers, Except Computer"
276,"Elementary School Teachers, Except Special Education"
277,Elevator Installers and Repairers
278,"Eligibility Interviewers, Government Programs"
279,Embalmers
280,Emergency Management Directors
281,Emergency Medical Technicians and Paramedics
282,Endoscopy Technicians
283,Energy Auditors
284,Energy Brokers
285,Energy Engineers
286,Engine and Other Machine Assemblers
287,"Engineering Teachers, Postsecondary"
288,"English Language and Literature Teachers, Postsecondary"
289,Environmental Compliance Inspectors
290,Environmental Economists
291,Environmental Engineering Technicians
292,Environmental Engineers
293,Environmental Restoration Planners
294,"Environmental Science Teachers, Postsecondary"
295,"Environmental Science and Protection Technicians, Including Health"
296,"Environmental Scientists and Specialists, Including Health"
297,Epidemiologists
298,Equal Opportunity Representatives and Officers
299,Etchers and Engravers
300,Excavating and Loading Machine and Dragline Operators
301,Executive Secretaries and Executive Administrative Assistants
302,Exercise Physiologists
303,"Explosives Workers, Ordnance Handling Experts, and Blasters"
304,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
305,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
306,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
307,"Fabric Menders, Except Garment"
308,Fabric and Apparel Patternmakers
309,Fallers
310,Family and General Practitioners
311,Farm Equipment Mechanics and Service Technicians
312,Farm Labor Contractors
313,Farm and Home Management Advisors
314,Farm and Ranch Managers
315,"Farmworkers and Laborers, Crop"
316,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
317,Fashion Designers
318,Fence Erectors
319,Fiberglass Laminators and Fabricators
320,File Clerks
321,Film and Video Editors
322,Financial Analysts
323,Financial Examiners
324,"Financial Managers, Branch or Department"
325,Financial Quantitative Analysts
326,"Fine Artists, Including Painters, Sculptors, and Illustrators"
327,Fire Inspectors
328,Fire Investigators
329,Fire-Prevention and Protection Engineers
330,First-Line Supervisors of Agricultural Crop and Horticultural Workers
331,First-Line Supervisors of Animal Husbandry and Animal Care Workers
332,First-Line Supervisors of Aquacultural Workers
333,First-Line Supervisors of Construction Trades and Extraction Workers
334,First-Line Supervisors of Correctional Officers
335,First-Line Supervisors of Food Preparation and Serving Workers
336,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
337,First-Line Supervisors of Housekeeping and Janitorial Workers
338,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
339,First-Line Supervisors of Logging Workers
340,"First-Line Supervisors of Mechanics, Installers, and Repairers"
341,First-Line Supervisors of Non-Retail Sales Workers
342,First-Line Supervisors of Office and Administrative Support Workers
343,First-Line Supervisors of Personal Service Workers
344,First-Line Supervisors of Police and Detectives
345,First-Line Supervisors of Production and Operating Workers
346,First-Line Supervisors of Retail Sales Workers
347,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
348,Fish and Game Wardens
